Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
2620;FACULDADE DE AMPÉRE;FAMPER
2623;FACULDADE DO TAPAJÓS;FAT
2624;FACULDADE DO LITORAL PARANAENSE;FLP
2625;CENTRO UNIVERSITÁRIO UFBRA;UFBRA
2629;AJES - FACULDADE DO VALE DO JURUENA;AJES
2632;FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA;UNESULBAHIA
2636;FACULDADE DINÂMICA DO VALE DO PIRANGA;FADIP
2642;FACULDADE SÃO VICENTE;FASVIPA
2647;FACULDADE INTEGRADA DE SANTA MARIA;FISMA
2652;FACULDADE UNIDA DE VITÓRIA;FACULDADE UNIDA
2676;FACULDADE LA SALLE;
2687;FACULDADE DOM ALBERTO;FDA
2688;FACULDADE INESP - INSTITUTO NACIONAL DE ENSINO E PESQUISA;INESP
2702;FACULDADE DE CIÊNCIAS JURÍDICAS DE PARAÍSO DO TOCANTINS;FCJP
2703;FACULDADE SENAC MINAS;FSM
2723;FACULDADE CATÓLICA IMACULADA CONCEIÇÃO DO RECIFE;CATÓLICA
2724;INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO;IESMA
2726;FACULDADE BILAC DE SÃO JOSÉ DOS CAMPOS ;BILAC
2741;FACULDADE CATÓLICA DOM ORIONE;FACDO
2744;INSTITUTO SUPERIOR DE EDUCAÇÃO VERA CRUZ;ISE VERA CRUZ
2745;CENTRO UNIVERSITÁRIO DA AMAZÔNIA;UNIESAMAZ
2753;Faculdade de Ciências Educacionais de Capim Grosso;FCG
2754;Faculdade Estácio São Paulo de Rondônia;Estácio FSP
2755;Centro Universitário Uniasselvi de Brusque;
2756;FACULDADE ANHANGUERA DE VALPARAÍSO;
2763;FACULDADE DE CIÊNCIAS GERENCIAIS DE SÃO GOTARDO;CESG
2766;FACULDADE EMPRESARIAL DE CHAPECÓ;FAEM
2770;Centro Universitário FACUNICAMPS;FACUNICAMPS
2771;CENTRO DE ENSINO SUPERIOR DE ILHÉUS;CESUPI
2773;FACULDADE ANHANGUERA DE MACAPÁ;
2774;Centro Universitário UNIFAFIBE;FAFIBE
2775;Faculdade Católica de Várzea Grande;FACC-VG
2779;FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE;FIOURO
2783;Faculdade Expedicionários do Brasil;FEB
2787;FACULDADES PEQUENO PRÍNCIPE;FPP
2793;Faculdade FIA de Gestão e Tecnologia;FFGT
2796;Centro Universitário de Iporá;Uniporá
2799;FANEESP - FACULDADE NACIONAL DE EDUCAÇÃO E ENSINO SUPERIOR DO PARANÁ;FANEESP
2805;FACULDADE MODELO;FACIMOD
2806;FACULDADE EVANGÉLICA DE SÃO PAULO;
2808;FACULDADES ITECNE DE CASCAVEL;ITECNE
2811;FACULDADE PAULUS DE TECNOLOGIA E COMUNICAÇÃO;FAPCOM
2814;FACULDADE SÃO SEBASTIÃO;
2821;Faculdade Atitus Educação Online;Atitus Educação
2826;FACULDADE NOSSA SENHORA DE FÁTIMA;FACULDADE FÁTIMA
2827;FACULDADE DE EDUCAÇÃO DO PIAUÍ;FAEPI
2831;FACULDADE DOM BOSCO DE GOIOERÊ;DOM BOSCO GOIOERÊ
2832;Faculdade Sucesso;FAS
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU
2836;FACULDADE SUL DA AMÉRICA;SULDAMÉRICA
2843;FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA;FCMS/JF
2845;Cesrei Faculdade;
2849;ESCOLA SUPERIOR DOM HELDER CÂMARA;ESDHC
2855;FACULDADE SÃO FRANCISCO DE ASSIS;FSFA
2859;FACULDADE DE BELÉM;FABEL
2870;FACULDADE SERRA DO CARMO;FASEC
2879;FACULDADE DE CAIEIRAS;
2885;Faculdade Uninassau Belo Horizonte;
2886;FACULDADE ZUMBI DOS PALMARES;FAZP
2896;Centro Universitário SATC;UniSATC
2903;FACULDADE CONCÓRDIA;FACC
2904;FACULDADE JK - GUARÁ;JK
2908;CENTRO UNIVERSITÁRIO NATALENSE;UNICEUNA
2909;FACULDADE DO ESTADO DO MARANHÃO;FACEM
2910;FACULDADE VERDE NORTE;FAVENORTE
2911;FACULDADE PAN AMAZÔNICA;FAPAN
2915;FACULDADE CIDADE DE PATOS DE MINAS;FPM
2917;FACULDADE BRASIL NORTE;FABRAN
2918;FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA;FESAR
2922;INSTITUTO SUPERIOR DE EDUCAÇÃO DE BARRETOS;ISEB
2927;FACULDADE DE BELO HORIZONTE;FDR
2935;Centro Universitário UniFACTHUS;UniFACTHUS
2944;FACULDADE ANHANGUERA DE ITABUNA;
2948;REAL FACULDADE DE BRASÍLIA;FU
2949;FACULDADE DO BAIXO PARNAÍBA;FAP
2950;Centro Universitário FADERGS;FADERGS
2961;Centro Universitário Estácio do Pantanal;Unipantanal
2964;FACULDADE PROJEÇÃO DO GUARÁ;
2969;INSTITUTO SUPERIOR DE EDUCAÇÃO OCIDENTE;OCIDEMNTE
2971;FACULDADE BARRETOS;FB
2973;FACULDADE ANHANGUERA DE PRIMAVERA DO LESTE;FIPL
3004;INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA;IESC
3008;FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS;FACULDADE INPG - SJC
3012;FAJOPA - FACULDADE JOÃO PAULO II;FAJOPA
3020;FACULDADE SANTA RITA DE CÁSSIA;IFASC
3029;FACULDADE DA AMAZÔNIA;FAAM
3034;Faculdade Anhanguera Unime de Salvador;
3039;FACULDADE VASCONCELLOS & SOUZA;
3042;CHRISTUS FACULDADE DO PIAUÍ;CHRISFAPI
3051;FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS;FAETEL
3099;FACULDADE INTERNACIONAL DA PARAÍBA;FPB
3146;FACULDADE DE ODONTOLOGIA DO RECIFE;FOR
3148;FACULDADE ANCHIETA DO RECIFE;FAR
3149;Faculdade Anhanguera De Divinópolis;
3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ
3157;INSTITUTO SUPERIOR DE EDUCAÇÃO ALMEIDA RODRIGUES;ISEAR
3160;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS;IFAL
3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano;IF SERTÃO-PE
3162;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA;IFSC
3163;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFRJ
3164;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFMT
3165;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO;IFTM
3170;FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS;
3172;UNIVERSIDADE DO ESTADO DO AMAZONAS;UEA
3180;FACULDADE ATTICUS;
3182;Faculdade UNIRB - ARAPIRACA;F. UNIRB
3183;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE;IFS
3184;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA;IFRR
3186;FACULDADE DE SÃO ROQUE;FASAR
3188;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;IFNMG
3189;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS;IFMG
3192;FACULDADE SÃO FRANCISCO DE CAJAZEIRAS;FSF
3193;FACULDADES INTEGRADAS DOS CAMPOS GERAIS;CESCAGE
3194;FACULDADE DE MINAS BH;FAMINAS-BH
3203;INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN;ISALBE
3204;FACULDADE UNIBRAS DO MATO GROSSO;FACBRAS
3205;CENTRO UNIVERSITÁRIO DE VIÇOSA;UNIVIÇOSA
3216;FACULDADE DE CIÊNCIAS DA BAHIA - FACIBA;FACIBA
3226;FACULDADE DE MEDICINA;ITPAC
3230;FACULDADE LUIZ EDUARDO MAGALHÃES;FILEM
3232;FI - FACULDADE IGUAÇU;FI
3252;FACULDADE QUIRINÓPOLIS;FAQUI
3268;FACULDADE MADRE THAIS;FMT
3270;FACULDADE SÃO BENTO DA BAHIA;FSBB
3279;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS;IFSEMG
3285;FACULDADE SANTO ANTONIO;FSA
3294;CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI
3295;FACULDADE SENAC FLORIANÓPOLIS;SENAC FLORIANÓPOLIS
3299;FACULDADE DE TECNOLOGIA INFORMÁTICA;FATI
3302;Faculdade REGES de Junqueirópolis;
3304;CENTRO UNIVERSITÁRIO DE PATOS;UNIFIP
3306;FACULDADE DE TECNOLOGIA IPUC;FATIPUC
3307;FACULDADE DE RIO CLARO;CBTA
3308;FACULDADE ENGENHEIRO SALVADOR ARENA ;FESA
3319;Instituto Universitário Una de Catalão;Catalana
3323;INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS;IESCAMP
3332;FACULDADE DE TECNOLOGIA SENAC RIO;FATEC
3333;CENTRO UNIVERSITÁRIO UNIFTEC;
3336;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;UERGS
3337;FACULDADE DE TECNOLOGIA DE TERESINA;FACULDADE CET
3339;Centro Universitário IDEAU;UNIDEAU
3360;INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY - CENTRO DE FORMAÇÃO DE PROFISSIONAIS DE EDUCAÇÃO;IFESP
3363;FACULDADE GUARAÍ;FAG
3365;Faculdade UniBRAS Juazeiro ;FACBRAS
3368;CENTRO UNIVERSITÁRIO DO SUL DE MINAS;UNIS-MG
3371;CENTRO UNIVERSITÁRIO DE PATOS DE MINAS;UNIPAM
3372;CENTRO UNIVERSITÁRIO DE LAVRAS;UNILAVRAS
3375;INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO;IESM
3376;FACULDADE DE TEOLOGIA INTEGRADA;FATIN
3377;FACULDADE MONTESSORIANO DE SALVADOR;FAMA
3388;CENTRO UNIVERSITÁRIO PARAÍSO;
3389;FACULDADE EVANGÉLICA RAÍZES;RAÍZES
3393;FACULDADE DE ENSINO SUPERIOR DOM BOSCO;FACDOMBOSCO
3396;Centro Universitário LS;UNILS
3397;FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS;FBNCTSB
3400;FACULDADE DE PENÁPOLIS;
3427;Faculdade Dom Pedro II de Sergipe;DP II Sergipe
3428;FACULDADE ALFA AMÉRICA;
3430;Faculdade Uberlandense de Núcleos Integrados de Ensino, Serviço Social e Aprendizagem;FAESSA
3431;FACULDADE DO SERIDÓ;FAS
3432;FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS;FG
3434;FACULDADE DE SAÚDE E HUMANIDADES IBITURUNA;FASI
3436;Faculdade de Araraquara;FARA
3437;Faculdade UNISUL de Balneário Camboriú;
3443;Centro Universitário CESUCA;
3448;Faculdade Ibituruna;IBITURUNA
3456;FACULDADE POLITÉCNICA DE CAMPINAS;POLICAMP
3488;Centro de Ensino Superior de Conselheiro Lafaiete;CES-CL
3495;FACULDADE PINHALZINHO;HORUS
3509;FACULDADE VICENTINA - FAVI;FAVI
3513;FACULDADE DE PRESIDENTE VENCESLAU;FAPREV
3514;FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES;FACE - ALFOR
3515;CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO;UNIVISA
3516;FACULDADE DE CIÊNCIAS DA SAÚDE ARCHIMEDES THEODORO;FAC - SAUDE ARTHE
3518;Faculdade SOCIESC de Jaraguá do Sul;SOCIESC
3522;FACULDADE CATÓLICA DE POUSO ALEGRE;FACAPA
3523;FACULDADE DE DIREITO DA FUNDAÇÃO ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO;
3525;FACULDADE EVANGÉLICA DE TECNOLOGIA, CIÊNCIAS E BIOTECNOLOGIA DA CGADB;FAECAD
3529;CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA;UNIVEM
3533;FACULDADE CERES;FACERES
3536;FACULDADE DE TEOLOGIA EVANGÉLICA EM CURITIBA - FATEV;FATEV
3541;FACULDADE DE TAPEJARA;FAT
3542;INSTITUTO DE ENSINO SUPERIOR DE MINAS GERAIS;IESMIG
3543;FACULDADE NOVO HAMBURGO;FACULDADE IENH
3573;FACULDADE TEOLÓGICA BATISTA DE BRASÍLIA;FTBB
3584;INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA CRUZ;ISED
3585;FACULDADE SANTA CRUZ;FACRUZ
3587;FACULDADE DIOCESANA SÃO JOSÉ;FADISI
3588;CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO
3590;FACULDADE DE ENFERMAGEM SÃO VICENTE DE PAULA;FESVIP
3602;CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL;UNIBRASIL
3603;FACULDADE ANHANGUERA DE GUARULHOS;
3607;ESCOLA SUPERIOR ASSOCIADA DE GOIÂNIA;ESUP
3609;FACULDADES INTEGRADAS IPITANGA;FACIIP
3610;Centro Universitário ICESP;Unicesp
3612;FACULDADE ANHANGUERA DE VALINHOS;
3613;FACULDADES INTEGRADAS IESGO;IESGO
3614;Escola de Ciências Sociais FGV CPDOC;FGV CPDOC
3615;FACULDADE PERNAMBUCANA DE SAÚDE;FPS
3617;FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO;FACESF
3618;FACULDADE LUSÓFONA DE SÃO PAULO;FL-SP
3625;Faculdade do Complexo Educacional Santo André;FACESA
3631;FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ;FADIC
3641;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS;UNIFEB
3644;Faculdade Caicoense Santa Teresinha;FCST
3648;INSTITUTO DE ENSINO SUPERIOR DE CUIABÁ;
3649;CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV
3657;Faculdade Única de Montes Claros;ÚNICA
3669;FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA;FDL
3675;Sinal Faculdade de Ciências Humanas e Sociais;SINAL
3680;FACULDADE UNINTA FORTALEZA - Gestão e Negócios;
3682;INSTITUTO SUPERIOR DE EDUCAÇÃO DO MUNICÍPIO DE ITAPERUNA;ISEMI
3688;FACULDADES INTEGRADAS DO VALE DO IVAÍ;
3691;FACULDADE DE TECNOLOGIA TUPY DE SÃO BENTO DO SUL;FTT-SBS
3692;FACULDADE DE TECNOLOGIA IPEP DE CAMPINAS;FATEC CAMPINAS
3697;FACULDADE FAMERCOSUL;FSUL
3710;ESCOLA SUPERIOR NACIONAL DE SEGUROS;ESNS
3716;FACULDADE CIÊNCIAS DA VIDA;FCV
3724;FACULDADE MARANHENSE SÃO JOSÉ DOS COCAIS;FSJ
3741;Faculdade Pitágoras Bacabal Mearim;
3746;FACULDADE IBRA DA GRANDE SÃO PAULO;FACULDADE FAGRAN
3753;FACULDADES INTEGRADAS DOM PEDRO II;DOMPEDRO
3754;FACULDADE ADVENTISTA DE MINAS GERAIS;FADMINAS
3756;Faculdade ALFAUNIPAC de Almenara;
3757;FACULDADE SERRA DA MESA;FASEM
3758;Faculdade UNISUL de Florianópolis;
3768;Faculdade IBGEN;
3769;FACULDADE MADRE TEREZA;FAMAT
3770;FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO;FTBSP
3774;FACULDADE SÃO TOMAZ DE AQUINO;FSTA
3777;FACULDADE CURITIBANA;FAC
3778;FACULDADE DE ARACAJU;FACAR
3779;FACULDADE ESTÁCIO DE SANTO ANDRÉ;ESTÁCIO SANTO ANDRÉ
3782;FACULDADE DE TECNOLOGIA CACHOEIRO DE ITAPEMIRIM;FACI
3783;FACULDADE PARAENSE DE ENSINO;FAPEN
3785;INSTITUTO MARANHENSE DE ENSINO E CULTURA;IMEC
3786;FACULDADE DE ENSINO DE MINAS GERAIS;FACEMG
3787;FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA;FESAM
3789;FACULDADE EVANGÉLICA DE GOIANÉSIA;FACEG
3793;FACULDADE DE FRUTAL;FAF
3797;CENTRO UNIVERSITÁRIO GUAIRACÁ;UNIGUAIRACÁ
3804;Centro Universitário Senac RS;UniSenac
3805;FACULDADE DE TECNOLOGIA DA PARAÍBA;FATECPB
3815;FACULDADE DE DIREITO DE ALTA FLORESTA;
3817;Centro Universitário Maurício de Nassau de João Pessoa;
3823;INSTITUTO DE EDUCAÇÃO SUPERIOR DE POUSO ALEGRE;
3835;UNIVERSIDADE VIRTUAL DO ESTADO DO MARANHÃO;UNIVIMA
3837;FACULDADE EVOLUÇÃO;FAEV
3839;Faculdade IPEMED de Ciências Médicas;IPEMED
3840;CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST
3847;FACULDADE BAIANA DE DIREITO E GESTÃO;
3849;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
3853;Centro Universitário Maurício de Nassau de Natal;UNINASSAU
3854;FACULDADE IBRA DE BRASÍLIA ;FACULDADE FABRAS
3862;FACULDADE LUCIANO FEIJÃO;FLF
3864;Centro Universitário UNIRB - Alagoinhas;
3866;FACULDADE BRASILEIRA DE EDUCAÇÃO E CULTURA;FABEC BRASIL
3867;CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA;UNIMAUÁ
3869;INSTITUTO FLORENCE DE ENSINO SUPERIOR;IFES
3875;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ;UNIFEG
3876;Faculdade Unyleya;
3877;FACULDADE MAUÁ DE GOIÁS;
3878;FACULDADE DECISION DE NEGÓCIOS;
3879;Centro Universitário Maurício de Nassau de Campina Grande;UNINASSAU CPV
3881;Centro Universitário FIS;Unifis
3896;Faculdade Paulista de Comunicação;FEPAC
3920;FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE;FATEC SENAI RM
3921;CENTRO UNIVERSITÁRIO ARNALDO HORÁCIO FERREIRA;
3930;INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ;IESRSA
3933;FACULDADE MÉTODO DE SÃO PAULO;FAMESP
3936;FACULDADE ANHANGUERA DE LIMEIRA;
3937;Faculdade Anhanguera de Indaiatuba;
3939;FACULDADE ALIANÇA DE ITABERAI;
3940;FACULDADE DE ENSINO SUPERIOR SANTA BARBARA;FAESB
3946;FACULDADE SENAC TUBARÃO;
3947;FACULDADE SENAC CHAPECÓ;SENAC
3948;FACULDADE SENAC BLUMENAU;SENAC
3954;FACULDADE EDUCACIONAL JURÍDICA E GERENCIAL DE OLIVEIRA;FEJUGO
3955;FACULDADES INTEGRADAS DE CATAGUASES;FIC
3962;CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC
3966;CENTRO UNIVERSITÁRIO DE CARATINGA;UNEC
3972;CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO;CESEP
3974;UNIVERSIDADE DE RIO VERDE;FESURV
3977;FACULDADE DE TECNOLOGIA DO AMAPÁ;META
3978;FACULDADE DE TECNOLOGIA PENTÁGONO;FATEP
3980;FACULDADE CCI;FAC CCI
3983;CENTRO UNIVERSITÁRIO DE FORMIGA;UNIFORMG
3984;FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF
3985;CENTRO UNIVERSITÁRIO SENAC;SENACSP
3986;FACULDADE INSTITUTO SUPERIOR DE EDUCAÇÃO DO PARANÁ - FAINSEP;FAINSEP
3987;CENTRO UNIVERSITÁRIO GOYAZES;UniGOYAZES
3996;FACULDADE SENAC PERNAMBUCO;SENACPE
3998;INSTITUTO INFNET RIO DE JANEIRO;INFNET
4000;FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA;FAIP
4007;FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO;FATECE
4009;FACULDADE DE TECNOLOGIA ESTÁCIO DE CURITIBA;FATEC ESTÁC CURITIBA
4010;CENTRO UNIVERSITÁRIO METODISTA;IPA
4013;FACULDADE ANHANGUERA DE RIO CLARO;
4016;INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS;INES
4017;CENTRO UNIVERSITÁRIO PADRE ANCHIETA;UNIANCHIETA
4020;FACULDADE DE TECNOLOGIA DE BOTUCATU;FATEC BT
4021;FACULDADE DE TECNOLOGIA DE GARÇA;FATECGA
4022;FACULDADE DE TECNOLOGIA DE JUNDIAÍ;FATEC/JD
4023;FACULDADE DE TECNOLOGIA DE MAUÁ;FATEC MAUÁ
4024;FACULDADE DE TECNOLOGIA DE MOCOCA;FATEC
4025;FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO;FATECRP
4026;FACULDADE DE TECNOLOGIA ZONA LESTE;FATEC-ZL
4029;FACULDADE DE SANTA BÁRBARA D'OESTE;FAP
4030;CENTRO UNIVERSITÁRIO FLUMINENSE;UNIFLU
4037;CENTRO UNIVERSITÁRIO ANHANGUERA DE FORTALEZA;UNIPITÁGORAS
4042;Faculdade JK Brasília - Recanto das Emas;JK BSB RE
4045;Centro Universitário UniCuritiba;UniCuritiba
4053;FACULDADE SKEMA BUSINESS SCHOOL;SKEMA
4059;FACULDADE DE SAÚDE, CIÊNCIAS E TECNOLOGIA - FACESB;FACESB
4066;FACULDADE BATISTA DO ESTADO DO RIO DE JANEIRO - FABERJ;FABERJ 
4068;FACULDADE ICESP;ICESP
4077;Faculdade QI Brasil;FAQI
4079;FACULDADE TECNOLÓGICA INAP;FAT- INAP
4086;FACULDADE DE TECNOLOGIA JARDIM;FATEJ
4090;FACULDADE DE ROSEIRA;FARO
4093;Centro Universitário de Tecnologia de Curitiba;UNIFATEC
4094;Faculdade Estácio da Paraíba;ESTACIO PARAIBA
4096;Faculdade de Tecnologia FTEC de Porto Alegre;FTEC Porto Alegre
4097;Centro Universitário Uniftec Bento Gonçalves;
4098;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA;IFFarroupilha
4100;FACULDADE DE TECNOLOGIA SENAI ÍTALO BOLOGNA;FATECIB
4101;FACULDADE DE TECNOLOGIA SENAI DE DESENVOLVIMENTO GERENCIAL;FATESG
4104;ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG;ESEG
4107;FACULDADE DE TECNOLOGIA SENAI PORTO ALEGRE;FATEC SENAI
4108;INSTITUTO CATÓLICO DE ESTUDOS SUPERIORES DO PIAUÍ;ICESPI
4118;Centro Universitário Maurício de Nassau Paulista;UNINASSAU PAULISTA
4121;CENTRO UNIVERSITÁRIO MAURICIO DE NASSAU DE ARACAJU;
4123;Faculdade de Gestão e Inovação;FGI
4126;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS E DE TECNOLOGIAS DE AGUA BOA;FACESA
4138;FACULDADE ANHANGUERA DE SANTA BÁRBARA;
4141;FACULDADE ANHANGUERA DE TAUBATÉ;
4150;FACULDADE DE TECNOLOGIA DE PIRACICABA;FATEP
4153;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DERBY;UNINASSAU
4157;FACULDADE METROPOLITANA DE RIO DO SUL;FAMESUL
4162;Faculdade SENAC Goiás;FacSenacGO
4163;CENTRO UNIVERSITÁRIO BARRIGA VERDE;UNIBAVE
4166;FACULDADE UNIBRASÍLIA DE MINAS GERAIS;BRASÍLIA
4167;INSTITUTO DE ENSINO SUPERIOR DA FUPESP;IESF
4169;Faculdade Estácio de Carapicuíba;ESTÁCIO CARAPICUÍBA
4173;FACULDADE JK DE TECNOLOGIA;FACJK
4185;FACULDADE PERUIBE;FPBE
4197;Centro Universitário Maurício de Nassau Aliança;Uninassau Aliança
4198;Faculdade Morgana Potrich;FAMP
4201;FACULDADES DE EDUCAÇÃO, GESTÃO E SAÚDE UNIFUTURO  FACULDADE UNIFUTURO;Faculdade Unifuturo
4211;Faculdade ESAMC São Paulo - ESAMC;ESAMC
4218;FACULDADE PEDRO LEOPOLDO;FPL
4219;INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSORA NAIR FORTES ABU-MERHY;ISEFOR
4251;FACULDADE ANHANGUERA DE TECNOLOGIA DE BELO HORIZONTE;
4255;Centro Universitário de Rondônia;Unesc
4256;Centro Universitário FIP-MOC;UNIFIPMoc
4257;INSTITUTO DE FILOSOFIA E TEOLOGIA DE GOIÁS;IFITEG
4259;FACULDADE DE INHUMAS - FAC-MAIS;FACMAIS
4261;Faculdade CMB;CMB
4277;FACULDADE ESTÁCIO DO AMAZONAS - ESTÁCIO AMAZONAS;ESTÁCIO AMAZONAS
4289;FACULDADE DO VALE ELVIRA DAYRELL - FAVED;FAVED
4293;FACULDADE DE TIETÊ;
4294;FACULDADE SENAC JARAGUÁ DO SUL;
4329;FACULDADE DO CENTRO EDUCACIONAL MINEIRO - FACEM;FACEM-BH
4330;FACULDADE EFICAZ;EFICAZ
4355;Faculdades Integradas Oswaldo Cruz;
4356;FACULDADE DE CIÊNCIAS SOCIAIS DOS PALMARES;FACIP
4357;FACULDADE QUALITTAS;QUALITTAS
4358;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;IF SUL DE MINAS
4362;FACULDADE ANHANGUERA DE BETIM;
4367;FACULDADE TERRA NORDESTE;FATENE
4396;CENTRO UNIVERSITÁRIO DE MINEIROS;UNIFIMES
4398;INSTITUTO SUPERIOR DE EDUCAÇÃO DE GOIANA;I.S.E.G.
4399;FACULDADE DE BALSAS;UNIBALSAS
4411;CENTRO UNIVERSITÁRIO ESTÁCIO DE JI-PARANÁ;ESTÁCIO UNIJIPA
4416;FACULDADE JK - UNIDADE I - GAMA;
4420;Centro Universitário Aeso -  Barros Melo;Uniaeso
4428;FACULDADE PROFESSOR MIGUEL ÂNGELO DA SILVA SANTOS;FEMASS
4429;CENTRO UNIVERSITÁRIO UNIGRAN CAPITAL;
4431;FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN;FACENE/RN
4443;Faculdade Meridional de Ijuí;IMED
4450;CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA;UNIFAMAZ
4452;CENTRO UNIVERSITÁRIO ANHANGUERA DE MARABÁ;
4460;FACULDADE DOM PEDRO II DE TECNOLOGIA;FDP II Tec
4492;FACULDADE PASCHOAL DANTAS;FPD
4495;FACULDADE ANHANGUERA JARAGUÁ DO SUL;
4496;FACULDADE DE TECNOLOGIA DO VALE DO IVAÍ;FATEC-IVAI
4502;FACULDADES INTEGRADAS CAMPO-GRANDENSES;FIC
4503;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB
4504;FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD
4518;FACULDADE REGIONAL PALMITOS;FAP
