Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
361;Faculdade Paulista de Serviço Social de São Caetano do Sul;FAPSS
362;Faculdade Primum;Primum
363;FACULDADE MOZARTEUM DE SÃO PAULO;FAMOSP
367;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES
368;FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA;FEFISO
370;FACULDADE PAULISTA DE ARTES;FPA
371;FACULDADE DE MÚSICA CARLOS GOMES;FMCG
373;ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO;ESP
374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU
375;UNIVERSIDADE SANTO AMARO;UNISA
376;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;Anhanguera SP
383;UNIVERSIDADE DA AMAZÔNIA;UNAMA
384;Universidade Evangélica de Goiás;UniEVANGÉLICA
385;UNIVERSIDADE SALVADOR;UNIFACS
386;CENTRO UNIVERSITÁRIO DE GOIÁS;UNIGOIÁS
387;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB
396;Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden
398;UNIVERSIDADE TIRADENTES;UNIT
402;CENTRO UNIVERSITÁRIO DE BRASÍLIA;UNICEUB
403;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB
404;FACULDADES INTEGRADAS DA UPIS;UPIS
405;FOCCA - FACULDADE DE OLINDA;FOCCA
409;UNIVERSIDADE DE PERNAMBUCO;UPE
410;FACULDADE DE CIÊNCIAS HUMANAS ESUDA;FCHE
415;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO;FCMSCSP
416;FACULDADE DE SÃO PAULO;FASP
417;UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID
420;UNIVERSIDADE DE MARÍLIA;UNIMAR
423;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;URI
426;UNIVERSIDADE FRANCISCANA;UFN
430;CENTRO UNIVERSITÁRIO FILADÉLFIA;UNIFIL
431;FACULDADE DE MEDICINA DE MARÍLIA;FAMEMA
432;FACULDADE PARANAENSE;FACCAR
434;FACULDADE SANTA MARCELINA;FASM
435;FACULDADE SANTA MARCELINA MURIAÉ - FASM;FASM
437;UNIVERSIDADE PARANAENSE;UNIPAR
438;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA;FFCL
439;FACULDADE DOUTOR FRANCISCO MAEDA;FAFRAM
440;FACULDADE DE DIREITO DE ITÚ;FADITU
441;UNIVERSIDADE DO CONTESTADO;UNC
446;UNIVERSIDADE DE CRUZ ALTA;UNICRUZ
448;CENTRO UNIVERSITÁRIO RITTER DOS REIS;UNIRITTER
449;UNIVERSIDADE LUTERANA DO BRASIL;ULBRA
450;Centro Universitário São Lucas Ji-Paraná;São Lucas JPR
451;CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM;CEULS
452;CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS;CEULM/ULBRA
453;CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS;CEULP
454;FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS;FACCCA
456;CENTRO UNIVERSITÁRIO SANT¿ANNA;UNISANT'ANNA
458;UNIVERSIDADE IBIRAPUERA;UNIB
461;CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO;FA-FAAP
466;UNIVERSIDADE ANHEMBI MORUMBI;UAM
472;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY;UNIGRANRIO
473;Centro Universitário Dom Bosco do Rio de Janeiro;UniDomBosco-RJ
474;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO;FFCLDB
475;FACULDADE DE MEDICINA DE PETRÓPOLIS;FMP
480;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS;UNIFESO
481;Universidade Universus Veritas Guarulhos;Univeritas UNG
482;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC
483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP
489;CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;UNIFOA
490;CENTRO UNIVERSITÁRIO DE VALENÇA;UNIFAA
491;CENTRO UNIVERSITÁRIO DON DOMÊNICO;UNIDON
492;FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ;FACEAG
493;FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ;FACEG
494;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL
495;FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA;FESB
496;UNIVERSIDADE DE FRANCA;UNIFRAN
501;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA;EMESCAM
502;CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU;CSJT
506;FACULDADE DE MEDICINA DE CAMPOS;FMC
507;Faculdade Mais de Ituiutaba ;FacMais
508;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM;FACESM
510;FACULDADE WENCESLAU BRAZ;
513;UNIVERSIDADE VALE DO RIO DOCE;UNIVALE
